id,gender,category,rating
cj6nb1yeglhnq0134jioacbke,mujer,monos,2
cj6nb1yekjv0m0185gareloru,mujer,vestidos,4
cj6nb1yesj9g101785j1xch67,mujer,camisetas_tops_bodies,3
cj6nb1yeukus70126ipcpo8k3,mujer,monos,2
cj6nb1yeykmjw01205uriltkv,mujer,camisetas_tops_bodies,2
cj6nb1yf0ltdm0118fcj2xqj2,mujer,abrigos_chaquetas,1
cj6nb1yf3kdl301455ou4drt2,mujer,monos,2
cj6nb1yf5l8f10182bp4z1qzs,mujer,camisas_blusas,3
cj6nb1yf5l9mr0173us8k6jaj,mujer,camisas_blusas,3
cj6nb1yfikhlz0183jeg5dm1b,mujer,pantalones_largos,2
cj6nb1ygnl55o017199ooatd2,mujer,vestidos,3
cj6nb1ygrjv0s0185ofwk83jy,mujer,monos,4
cj6nb1yhhkmk40120xmd50rqz,mujer,vestidos,4
cj6nb1yhjl8fe0182zzrmmxcy,mujer,vestidos,2
cj6nb1yhjlhnu0134odyoc6lf,mujer,pantalones_cortos,1
cj6nb1yhkl9mx0173cm4kt333,mujer,camisetas_tops_bodies,3
cj6nb1yhklte80118yhil32kb,mujer,camisetas_tops_bodies,3
cj6nb1yhnkusd0126m9vpjw22,mujer,abrigos_chaquetas,1
cj6nb1yhokdl90145csql2wvj,mujer,faldas,5
cj6nb1yhpj9g80178xkmkodn2,mujer,camisetas_tops_bodies,2
cj6nb1yhqkhmg0183he2msoqr,mujer,camisetas_tops_bodies,2
cj6nb1yibkr0301949e3rny1v,mujer,vestidos,2
cj6nb1yj0kr080194k4bdo5ip,mujer,camisetas_tops_bodies,3
cj6nb1yj6l55s0171q4g8lrqb,mujer,camisetas_tops_bodies,4
cj6nb1yjjjv0u0185yubo1622,mujer,vestidos,5
cj6nb1yk9kmk60120gbc09qmv,mujer,abrigos_chaquetas,3
cj6nb1ykalhnx013481ru3nyk,mujer,vestidos,3
cj6nb1ykcl9mz0173625ns9jz,mujer,camisas_blusas,2
cj6nb1ykdlteo0118kt54gukv,mujer,pantalones_largos,4
cj6nb1ykfkusf0126pu4whpk4,mujer,monos,4
cj6nb1ykhj9gl0178vc0rhlij,mujer,vestidos,4
cj6nb1ykhkdlb01450ihpusel,mujer,pantalones_cortos,4
cj6nb1ykjkhmv0183gbfubw4r,mujer,camisetas_tops_bodies,4
cj6nb1ylrkr0g0194q58putpt,mujer,camisetas_tops_bodies,3
cj6nb1ylyl55u0171o00hi6ym,mujer,camisas_blusas,3
cj6nb1ymcjv110185q50fndm0,mujer,camisas_blusas,3
cj6nb1ymhl8ft0182ybhj9tta,mujer,vestidos,1
cj6nb1yn1kmkd0120jvhbfzk4,mujer,monos,4
cj6nb1yn2lho201345vgdlyf0,mujer,faldas,1
cj6nb1yn4l8fx01827cplhzzx,mujer,camisetas_tops_bodies,1
cj6nb1yn4l9n10173lhqmu84h,mujer,camisetas_tops_bodies,3
cj6nb1yn5ltf80118zpo12ot2,mujer,pantalones_largos,3
